research_period,dia_incremental_5d_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n
DISCOVERY,OTHER,277,273,150,123,0,4,54.94505494505494,54.51263537906137,1.378451629824737,1.2606536421984422,101,12
DISCOVERY,SPY_QQQ_ALIGNED_DIA_ALIGNED,1652,1615,810,805,2,35,50.154798761609904,44.24939467312349,1.3071437888418296,1.2042453530675878,112,124
DISCOVERY,SPY_QQQ_ALIGNED_DIA_OPPOSING,297,291,151,140,0,6,51.89003436426117,43.0976430976431,1.2619071488846563,1.2214384948484975,104,22
DISCOVERY,SPY_QQQ_OPPOSING_DIA_ALIGNED,310,304,146,158,3,3,48.026315789473685,42.25806451612903,1.3531225678575762,1.415068689020065,105,22
DISCOVERY,SPY_QQQ_OPPOSING_DIA_OPPOSING,1637,1595,823,772,9,33,51.5987460815047,48.259010384850335,1.2495097785591407,1.2503006268347105,112,124
VALIDATION,OTHER,327,324,163,161,3,0,50.30864197530864,51.98776758409786,1.479455486862522,1.5839654311975786,104,13
VALIDATION,SPY_QQQ_ALIGNED_DIA_ALIGNED,1504,1466,664,802,26,12,45.29331514324693,44.880319148936174,1.5462841358074533,1.5994763515353088,112,111
VALIDATION,SPY_QQQ_ALIGNED_DIA_OPPOSING,477,467,224,243,10,0,47.96573875802998,44.65408805031446,1.6516340172430295,1.5114793646517435,110,35
VALIDATION,SPY_QQQ_OPPOSING_DIA_ALIGNED,425,417,224,193,6,2,53.71702637889688,48.705882352941174,2.088192334637894,1.4928482272871417,107,35
VALIDATION,SPY_QQQ_OPPOSING_DIA_OPPOSING,1401,1366,723,643,22,13,52.928257686676424,49.53604568165596,1.7265180927639727,1.523206390568024,112,111
