ma_definition,research_period,short_ma_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
CONTINUOUS,DISCOVERY,BOTH_FAVORABLE,3787,3706,1904,1802,13,68,51.37614678899082,1757,46.39556377079482,1.312394066861748,1.253294754942651,0.934279439094453,0.8922098098690496,112,161,ALL
CONTINUOUS,DISCOVERY,BOTH_OPPOSING,320,311,156,155,1,8,50.160771704180064,157,49.0625,1.0971561548201159,1.1311889989890145,0.7854967284845109,0.7721099199364827,104,146,ALL
CONTINUOUS,DISCOVERY,EMA20_ONLY_OPPOSING,134,129,59,70,0,5,45.736434108527135,60,44.776119402985074,1.2066470548863544,1.2639821494683958,0.8213760195225059,0.9812572934022825,80,91,ALL
CONTINUOUS,DISCOVERY,EMA9_ONLY_OPPOSING,27,27,13,14,0,0,48.148148148148145,10,37.03703703703704,1.4776169114738384,0.898816759889438,0.9798942029617482,0.6608824072364853,25,22,ALL
CONTINUOUS,DISCOVERY,UNKNOWN,4,4,2,2,0,0,50.0,1,25.0,0.8165293035658738,0.8102951092556891,0.8176722160869947,0.48289918705929824,4,1,ALL
CONTINUOUS,VALIDATION,BOTH_FAVORABLE,3750,3663,1825,1838,62,25,49.822549822549824,1769,47.17333333333333,1.7163322691740772,1.5548994942983243,1.2049518182272179,1.1160152757926305,112,161,ALL
CONTINUOUS,VALIDATION,BOTH_OPPOSING,290,285,128,157,3,2,44.91228070175438,140,48.275862068965516,1.2415441395604185,1.5104564271707888,0.9201592418350981,1.1621962913154436,99,128,ALL
CONTINUOUS,VALIDATION,EMA20_ONLY_OPPOSING,119,115,50,65,3,1,43.47826086956522,55,46.21848739495798,1.4073507812169364,1.593438003363607,0.9456027800053409,1.1101138756567732,71,78,ALL
CONTINUOUS,VALIDATION,EMA9_ONLY_OPPOSING,26,25,11,14,1,0,44.0,12,46.15384615384615,1.16374227434307,1.3823343186813593,0.8796770645303407,1.0813652606886666,24,24,ALL
RTH_ONLY,DISCOVERY,BOTH_FAVORABLE,3154,3094,1593,1501,13,47,51.48674854557208,1458,46.22701331642359,1.29909539181623,1.2545610624317807,0.9281268581187989,0.8980809346607809,112,160,ALL
RTH_ONLY,DISCOVERY,BOTH_OPPOSING,983,953,477,476,1,29,50.05246589716684,467,47.507629704984744,1.3072264875006359,1.2040966640124684,0.8850660683121516,0.8220404509014,111,160,ALL
RTH_ONLY,DISCOVERY,EMA20_ONLY_OPPOSING,64,63,34,29,0,1,53.96825396825397,31,48.4375,1.2032468903746008,1.0669841251310137,1.0018917466300334,0.8461597215128687,49,53,ALL
RTH_ONLY,DISCOVERY,EMA9_ONLY_OPPOSING,41,37,19,18,0,4,51.351351351351354,19,46.34146341463415,1.0573363966796006,1.3972149185112634,0.6525205298807251,0.8826198135775034,31,38,ALL
RTH_ONLY,DISCOVERY,UNKNOWN,30,30,11,19,0,0,36.666666666666664,10,33.333333333333336,0.775656122578373,1.3001716775222494,0.31786590528605135,1.1117020747011002,30,1,ALL
RTH_ONLY,VALIDATION,BOTH_FAVORABLE,3010,2939,1463,1476,58,13,49.77883633889078,1417,47.07641196013289,1.6598595517514,1.5488841389416335,1.1709967535775125,1.1228166432332007,112,161,ALL
RTH_ONLY,VALIDATION,BOTH_OPPOSING,1074,1049,505,544,10,15,48.14108674928503,511,47.57914338919925,1.7287800259016377,1.554690844999825,1.2002958084691386,1.1060621610689578,111,160,ALL
RTH_ONLY,VALIDATION,EMA20_ONLY_OPPOSING,81,80,35,45,1,0,43.75,37,45.67901234567901,1.4424552935045403,1.7226766050193734,0.9323123595983843,1.3536758656794572,58,64,ALL
RTH_ONLY,VALIDATION,EMA9_ONLY_OPPOSING,20,20,11,9,0,0,55.0,11,55.0,1.214998730455231,1.1524625716765993,0.684041938837056,0.9804360123055835,19,17,ALL
CONTINUOUS,DISCOVERY,BOTH_FAVORABLE,1920,1875,931,944,11,34,49.653333333333336,872,45.416666666666664,1.3233104943663831,1.2831326221551553,0.9459362827438365,0.9468001918185522,112,161,BEAR
