factor_code,family,factor_name,description,priority,target_phase,status,timing_type,data_type,data_available
V5Q01,Q_DATA_QUALITY,Six-level completeness,Whether PMH/PML/AHH/AHL/PDH/PDL are all available for the symbol-day.,1,9H,not_tested,decision_point_or_event,mixed,True
V5Q02,Q_DATA_QUALITY,Premarket observation count,Number of observed PRE 1-minute bars used to form PMH/PML.,1,9H,not_tested,decision_point_or_event,mixed,True
V5Q03,Q_DATA_QUALITY,Prior after-hours observation count,Number of observed AH 1-minute bars used to form AHH/AHL.,1,9H,not_tested,decision_point_or_event,mixed,True
V5Q04,Q_DATA_QUALITY,Prior RTH observation count,Number of observed prior RTH 1-minute bars used to form PDH/PDL.,1,9H,not_tested,decision_point_or_event,mixed,True
V5Q05,Q_DATA_QUALITY,Premarket observability tier,Descriptive PM observability stratum; retain continuous count as primary field.,1,9H,not_tested,decision_point_or_event,mixed,True
V5Q06,Q_DATA_QUALITY,After-hours observability tier,Descriptive AH observability stratum; retain continuous count as primary field.,1,9H,not_tested,decision_point_or_event,mixed,True
V5Q07,Q_DATA_QUALITY,Six-level price-scale ratio,Maximum divided by minimum across all six reconstructed levels.,1,9H,not_tested,decision_point_or_event,mixed,True
V5Q08,Q_DATA_QUALITY,Overnight gap percentage,Current PM last close versus previous RTH close continuity diagnostic.,1,9H,not_tested,decision_point_or_event,mixed,True
V5Q09,Q_DATA_QUALITY,Severe price-scale discontinuity flag,Outcome-blind guardrail for obvious corporate-action/scale discontinuities.,1,9H,not_tested,decision_point_or_event,mixed,True
V5Q10,Q_DATA_QUALITY,Sparse extended-hours sensitivity flag,Whether PM or AH has five or fewer observed bars; not a default exclusion.,1,9H,not_tested,decision_point_or_event,mixed,True
V5L01,L_LEVEL_GEOMETRY,Directional stack width percentage,Outer-to-inner width of PM/AH/PD directional level stack as percent of price.,1,9H,not_tested,decision_point_or_event,mixed,True
V5L02,L_LEVEL_GEOMETRY,ATR-normalized directional stack width,Directional stack width normalized by contemporaneous ATR.,1,9H,not_tested,decision_point_or_event,mixed,False
V5L03,L_LEVEL_GEOMETRY,PM-AH level separation,Directional PM versus AH level separation.,1,9H,not_tested,decision_point_or_event,mixed,True
V5L04,L_LEVEL_GEOMETRY,PM-PD level separation,Directional PM versus PD level separation.,1,9H,not_tested,decision_point_or_event,mixed,True
V5L05,L_LEVEL_GEOMETRY,AH-PD level separation,Directional AH versus PD level separation.,1,9H,not_tested,decision_point_or_event,mixed,True
V5L06,L_LEVEL_GEOMETRY,Identity ordering inner-to-outer,Exact PM/AH/PD identity ordering in directional geometry space.,1,9H,not_tested,decision_point_or_event,mixed,True
V5L07,L_LEVEL_GEOMETRY,Inner level identity,"Whether PM, AH, or PD is the innermost directional level.",1,9H,not_tested,decision_point_or_event,mixed,True
V5L08,L_LEVEL_GEOMETRY,Middle level identity,"Whether PM, AH, or PD is the middle directional level.",1,9H,not_tested,decision_point_or_event,mixed,True
V5L09,L_LEVEL_GEOMETRY,Outer level identity,"Whether PM, AH, or PD is the outermost directional level.",1,9H,not_tested,decision_point_or_event,mixed,True
V5L10,L_LEVEL_GEOMETRY,Minimum pairwise confluence distance,Smallest pairwise PM/AH/PD directional-level distance.,1,9H,not_tested,decision_point_or_event,mixed,False
V5L11,L_LEVEL_GEOMETRY,Levels pre-cleared at RTH open,Count of directional levels already beyond price at the RTH open.,1,9H,not_tested,decision_point_or_event,mixed,False
V5L12,L_LEVEL_GEOMETRY,RTH open location relative to stack,Categorical location of RTH open versus inner/middle/outer levels.,1,9H,not_tested,decision_point_or_event,mixed,False
V5S01,S_EVENT_STRUCTURE,First contacted level identity,PM/AH/PD identity first contacted by the directional encounter.,1,9H,not_tested,decision_point_or_event,mixed,False
V5S02,S_EVENT_STRUCTURE,First cleared level identity,PM/AH/PD identity first cleared by the directional encounter.,1,9H,not_tested,decision_point_or_event,mixed,False
V5S03,S_EVENT_STRUCTURE,Maximum levels cleared,Maximum 0-3 directional levels traded beyond during parent event.,1,9H,not_tested,decision_point_or_event,mixed,True
V5S04,S_EVENT_STRUCTURE,First-to-second clear elapsed time,Elapsed time between first and second directional clears.,1,9H,not_tested,decision_point_or_event,mixed,False
