legacy_factor_code,legacy_family,legacy_factor_name,v5_disposition,target_phase,mapping_note
A01,A_SETUP_QUALITY,Breakout penetration beyond required PM/PD levels,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A02,A_SETUP_QUALITY,Breakout candle body-to-range ratio,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A03,A_SETUP_QUALITY,Strong-close / close-location percentage,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A04,A_SETUP_QUALITY,Breakout candle range vs ATR,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A05,A_SETUP_QUALITY,Directional candle quality,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A06,A_SETUP_QUALITY,Breakout speed / velocity,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A07,A_SETUP_QUALITY,Pre-signal 1-minute velocity,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A08,A_SETUP_QUALITY,Pre-signal 2-minute velocity,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A09,A_SETUP_QUALITY,Pre-signal 3-minute velocity,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A10,A_SETUP_QUALITY,Pre-signal acceleration / deceleration,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A11,A_SETUP_QUALITY,Distance between required PM/PD breakout levels,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A12,A_SETUP_QUALITY,ATR-normalized distance between required levels,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A13,A_SETUP_QUALITY,Which required level was crossed first,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
A14,A_SETUP_QUALITY,Time between first-level and second-level break,REFRAME_EVENT_ARCHITECTURE,9H,Translate V4 signal/breakout wording to event decision-point measurements.
